Trailing P/E Ratio,Forward P/E Ratio,Price to Book Ratio,Dividend Yield,Earnings Per Share Trailing,Earnings Per Share Forward,Return on Equity,Debt to Equity Ratio,Free Cash Flow,Revenue Growth,Beta (Volatility),Operating Margin,Gross Margin,Net Profit Margin,Price to Sales Ratio,Current Ratio,Quick Ratio,Interest Coverage Ratio,Dividend Payout Ratio,Return on Assets,Return on Investment,Enterprise Value,Enterprise Value to EBITDA,Price to Free Cash Flow,PEG Ratio,Book Value Per Share,Symbol,Error
43.994793,31.026402,8.039402,0.0097,Not Available,2.72,0.18531999,69.566,7701374976,0.048,0.516,0.04689,0.24628,0.02339,1.0209852,0.803,0.183,Not Available,Not Available,0.069510005,Not Available,747954503680,18.342,Not Available,Not Available,10.507,WMT,
34.990032,3.7756453,3.8906538,0.0135,Not Available,4.07,0.88725996,47.271,46035312640,0.214,0.165,0.47429,0.84657997,0.35006002,1.7316614,0.937,0.742,Not Available,Not Available,0.21465999,Not Available,458086383616,3.596,Not Available,Not Available,27.07,NVO,
13.444692,14.349644,2.1004775,0.0207,Not Available,16.74,0.16216,Not Available,Not Available,0.03,1.091,0.43787998,Not Available,0.33163,4.1995354,Not Available,Not Available,Not Available,Not Available,0.013259999,Not Available,205751500800,Not Available,Not Available,Not Available,115.15,JPM,
38.54126,19.725695,5.791293,0.0139,Not Available,29.9,0.15252,74.683,-2398249984,0.092,0.591,0.08637,0.22872,0.03635,1.3858067,0.908,0.833,Not Available,Not Available,0.06924,Not Available,608368656384,17.365,Not Available,Not Available,102.421,UNH,
31.712961,24.373024,15.35339,0.0076,Not Available,12.66,0.50708,53.239,13259249664,0.117,0.952,0.66122,0.97833997,0.54955,16.617924,1.283,0.837,Not Available,Not Available,0.16174,Not Available,584800665600,23.417,Not Available,Not Available,20.077,V,
15.013699,14.677951,1.9727713,0.0326,Not Available,7.87,0.14513999,15.394,28811499520,-0.015,0.88,0.13274,0.31535,0.09802,1.541141,1.348,0.978,Not Available,Not Available,0.07083,Not Available,557304119296,7.79,Not Available,Not Available,61.112,XOM,
48.08483,26.148077,47.92467,0.0084,Not Available,7.16,1.55578,749.978,10339500032,0.069,1.013,0.30517998,0.71310997,0.20396,9.631641,0.72,0.591,Not Available,Not Available,0.072909996,Not Available,599515660288,27.497,Not Available,Not Available,3.903,ORCL,
39.245853,31.758354,64.3502,0.0050999997,Not Available,16.38,1.7757801,244.839,13575374848,0.128,1.101,0.59301996,1.0,0.45262,17.543499,1.289,0.891,Not Available,Not Available,0.22886999,Not Available,486012649472,28.957,Not Available,Not Available,8.087,MA,
28.806896,22.54444,7.708064,0.0242,Not Available,7.42,0.28766,69.338,13264499712,-0.006,0.414,0.27763999,0.51756,0.17063,4.68959,0.754,0.507,Not Available,Not Available,0.10601,Not Available,417390854144,17.362,Not Available,Not Available,21.676,PG,
55.891712,47.140396,17.331171,0.005,Not Available,19.68,0.30267,42.118,4467500032,0.01,0.789,0.03817,0.12613,0.02895,1.6087513,0.966,0.391,Not Available,Not Available,0.0836,Not Available,412516057088,35.802,Not Available,Not Available,53.308,COST,
25.102478,14.283859,5.211021,0.0324,Not Available,10.6,0.20889,50.958,19922499584,0.052,0.518,0.24516001,0.69391,0.16744,4.1694636,1.029,0.705,Not Available,Not Available,0.08403,Not Available,384398131200,12.791,Not Available,Not Available,29.144,JNJ,
27.247816,25.767067,69.4845,0.0219,Not Available,15.6,4.04933,1095.368,11943249920,0.066,1.011,0.13472,0.33495,0.0945,2.606787,1.133,0.251,Not Available,Not Available,0.15313,Not Available,468345290752,18.917,Not Available,Not Available,5.839,HD,
59.31119,14.009017,49.70114,0.0385,Not Available,12.13,0.56407,1174.815,17738999808,0.038,0.613,0.28928,0.70335,0.09222999,5.397871,0.645,0.436,Not Available,Not Available,0.077199996,Not Available,365109346304,14.245,Not Available,Not Available,3.413,ABBV,
25.954355,20.861404,10.165772,0.0308,Not Available,2.97,0.3723,167.358,14018875392,-0.008,0.62,0.30235,0.60433996,0.2245,5.811433,1.06,0.784,Not Available,Not Available,0.08438,Not Available,301981204480,20.361,Not Available,Not Available,6.153,KO,
16.630436,12.536874,1.2976733,0.0227,Not Available,3.66,0.08092,Not Available,Not Available,-0.005,1.325,0.30769,Not Available,0.24952,3.7218654,Not Available,Not Available,Not Available,Not Available,0.0072899996,Not Available,348427976704,Not Available,Not Available,Not Available,35.371,BAC,
20.577406,10.342809,5.5962677,0.0313,Not Available,9.4,0.28332,85.572,14019624960,0.044,0.411,0.26198998,0.76595,0.19229001,3.9385726,1.364,0.917,Not Available,Not Available,0.10531,Not Available,272765108224,11.897,Not Available,Not Available,17.576,MRK,
47.329563,35.161854,15.751886,Not Available,Not Available,23.78,0.34714,81.461,21647300608,0.15,1.25,0.29614002,0.45251,0.20701,9.521665,1.133,0.975,Not Available,Not Available,0.1184,Not Available,364275859456,36.512,Not Available,Not Available,53.153,NFLX,
17.79978,14.126588,1.8615032,0.041100003,Not Available,11.04,0.103520006,16.456,13861250048,-0.064,1.078,0.109110005,0.39169,0.087019995,1.5049193,1.069,0.675,Not Available,Not Available,0.053740002,Not Available,307200327680,7.888,Not Available,Not Available,86.919,CVX,
122.867256,27.06575,3.9543161,Not Available,Not Available,5.1,0.03262,3.927,2221374976,0.176,1.706,0.10617,0.52122,0.07516,9.273963,2.498,1.575,Not Available,Not Available,0.01249,Not Available,223751061504,49.956,Not Available,Not Available,35.111,AMD,
57.778748,29.687948,5.5127993,0.0047,Not Available,11.13,0.09734,21.148,12935749632,0.084,1.288,0.20181999,0.7635,0.15445,8.694841,1.041,0.858,Not Available,Not Available,0.04705,Not Available,326236307456,34.91,Not Available,Not Available,60.16,CRM,
24.322533,19.11036,11.656549,0.032899998,Not Available,8.63,0.48819,229.605,6066874880,-0.006,0.542,0.18011,0.54883,0.1018,2.4650147,0.886,0.664,Not Available,Not Available,0.08717,Not Available,263136477184,15.558,Not Available,Not Available,14.168,PEP,
27.109463,21.8336,4.3095636,0.0146,Not Available,10.67,0.16087,182.272,9192125440,0.047,0.496,0.23792,0.63826,0.12964,3.4485726,1.075,0.862,Not Available,Not Available,0.052389998,Not Available,386894036992,12.617,Not Available,Not Available,55.168,TMUS,
18.045376,12.421675,4.7724547,0.0364,Not Available,8.42,0.28786,74.029,5675749888,0.089,0.505,0.33473,0.75829005,0.35248002,4.152709,1.111,0.782,Not Available,Not Available,0.10592,Not Available,226076180480,10.773,Not Available,Not Available,21.666,NVS,
8.470703,7.3177133,0.06637537,0.0219,Not Available,15.78,0.12594,103.53,-675596861440,0.001,0.404,0.10099,0.19475001,0.09187,0.0049087685,1.229,1.027,Not Available,Not Available,0.038039997,Not Available,25615054929920,3.639,Not Available,Not Available,2613.62,TM,
33.46014,22.609507,4.161488,0.0029,Not Available,23.49,0.12944001,72.329,6782374912,0.002,0.792,0.18059999,0.40683997,0.14479999,4.811899,1.629,1.126,Not Available,Not Available,0.04674,Not Available,236251889664,22.326,Not Available,Not Available,128.084,TMO,
44.82826,25.766447,16.21141,Not Available,Not Available,20.55,0.35355,41.788,6618500096,0.106,1.299,0.36834,0.88657,0.25588,11.135188,1.111,0.966,Not Available,Not Available,0.15969,Not Available,232969502720,28.641,Not Available,Not Available,32.685,ADBE,
34.38135,26.679396,5.512283,0.012200001,Not Available,16.95,0.1619,54.828,4216750080,0.025,0.949,0.2719,0.47755,0.19328,6.538468,0.958,0.734,Not Available,Not Available,0.06832,Not Available,235747278848,18.738,Not Available,Not Available,82.269,LIN,
31.649477,25.747824,8.002962,0.016,Not Available,14.07,0.26674998,14.127,7641968128,0.026,1.245,0.14597,0.32609,0.111940004,3.4861932,1.099,0.984,Not Available,Not Available,0.11627,Not Available,231324336128,20.904,Not Available,Not Available,45.242,ACN,
51.962456,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,CCZ,
26.212465,23.65733,Not Available,0.0238,Not Available,12.61,Not Available,Not Available,7300262400,0.027,0.735,0.46974,0.56616,0.3179,8.24845,0.779,0.584,Not Available,Not Available,0.13629,Not Available,265311862784,19.162,Not Available,Not Available,-7.224,MCD,
34.963528,22.299334,5.013511,0.019,Not Available,5.16,0.14840001,37.589,6404874752,0.049,0.722,0.18749,0.55907,0.13992,4.840598,1.597,0.996,Not Available,Not Available,0.06488,Not Available,208235937792,19.237,Not Available,Not Available,22.944,ABT,
22.80315,14.825622,5.103983,0.027,Not Available,3.9,0.20761,70.647,12193874944,-0.056,Not Available,0.17036,0.64919996,0.17731,4.358016,0.882,0.648,Not Available,Not Available,0.06278,Not Available,249444204544,18.139,Not Available,Not Available,11.348,CSCO,
30.509491,19.456497,7.9043117,0.0317,Not Available,10.61,0.26729,245.112,10412125184,0.015,0.71,0.14130999,0.56534,0.10222,3.0879126,1.059,0.896,Not Available,Not Available,0.047270004,Not Available,241532157952,16.458,Not Available,Not Available,26.44,IBM,
45.25142,28.436312,3.3700306,0.0045,Not Available,8.38,0.07586,36.69,5169750016,0.031,0.881,0.20335,0.59873,0.16393,7.2823772,1.371,0.916,Not Available,Not Available,0.03858,Not Available,190654119936,25.383,Not Available,Not Available,71.032,DHR,
35.187374,33.843388,10.229944,0.0061000003,Not Available,5.24,0.22552,110.224,4729375232,0.058,1.188,0.18247999,0.23028,0.08926,2.7601466,1.134,0.804,Not Available,Not Available,0.03017,Not Available,204394889216,22.876,Not Available,Not Available,17.439,GE,
20.349205,17.92265,Not Available,0.0431,Not Available,7.2,Not Available,Not Available,9205749760,0.084,0.56,0.43425998,0.64075,0.26417,5.3555765,0.89,0.404,Not Available,Not Available,0.13116,Not Available,241721344000,15.798,Not Available,Not Available,-6.235,PM,
17.69264,8.637214,1.78612,0.0659,Not Available,4.73,0.10431,182.615,6670875136,Not Available,0.418,0.23933001,0.60094,0.07298,1.2816702,0.657,0.51,Not Available,Not Available,0.04982,Not Available,347869020160,7.183,Not Available,Not Available,22.882,VZ,
21.22975,19.068771,6.832239,0.0097,Not Available,15.12,0.3469,186.815,Not Available,0.08,1.214,0.20936,0.55698,0.16698,3.428341,1.622,1.619,Not Available,Not Available,0.03793,Not Available,210539528192,Not Available,Not Available,Not Available,42.197,AXP,
18.341164,13.234786,6.946115,0.0212,Not Available,12.23,0.42253,58.765,8920500224,0.187,1.286,0.2625,0.56214,0.2603,4.6755986,2.402,1.64,Not Available,Not Available,0.12069,Not Available,180366622720,15.082,Not Available,Not Available,23.606,QCOM,
46.040405,17.92664,1.1058679,0.0444,Not Available,5.0,0.114930004,67.302,58587435008,0.083,0.386,0.08786,0.40715998,0.030550001,0.21898642,1.622,1.041,Not Available,Not Available,0.03757,Not Available,512309166080,7.897,Not Available,Not Available,82.433,FMX,
162.97806,62.65203,23.092299,Not Available,Not Available,16.7,0.16221,24.166,3431500032,0.222,0.986,0.14945,0.79243,0.12768,20.50157,1.134,0.973,Not Available,Not Available,0.04698,Not Available,212664745984,116.593,Not Available,Not Available,45.028,NOW,
15.135136,13.415176,1.4791337,0.022,Not Available,5.49,0.099139996,Not Available,Not Available,-0.018,1.136,0.31972,Not Available,0.23228,3.1125119,Not Available,Not Available,Not Available,Not Available,0.009509999,Not Available,206885027840,Not Available,Not Available,Not Available,49.218,WFC,
38.218925,33.94243,10.879899,0.026400002,Not Available,5.88,0.29293,84.399,-473624992,-0.084,0.98,0.3734,0.58628,0.31601998,11.960837,4.306,3.048,Not Available,Not Available,0.10236,Not Available,193483194368,28.053,Not Available,Not Available,18.934,TXN,
67.05837,31.947365,10.653087,0.0058999998,Not Available,22.23,0.16597,Not Available,4246874880,0.41,1.246,0.15697,0.79619,0.18195,12.061248,1.292,0.615,Not Available,Not Available,0.08039,Not Available,Not Available,Not Available,Not Available,Not Available,65.78,INTU,
37.74617,14.340396,21.131819,0.0299,Not Available,20.67,0.5572,802.418,4574875136,0.232,0.599,0.24156,0.60589004,0.13002,4.8894124,1.318,0.804,Not Available,Not Available,0.04597,Not Available,213420867584,17.426,Not Available,Not Available,14.004,AMGN,
86.324234,68.69516,12.292852,Not Available,Not Available,7.86,0.15973,Not Available,637524992,0.169,1.389,0.28325,0.66982,0.28513,24.349243,4.303,3.293,Not Available,Not Available,0.0795,Not Available,187020443648,74.656,Not Available,Not Available,43.749,ISRG,
15.128553,9.517996,1.505838,0.033299997,Not Available,9.27,0.13685,Not Available,Not Available,0.13,0.842,0.41504002,Not Available,0.28672,3.0746949,Not Available,Not Available,Not Available,Not Available,0.00804,Not Available,-103662764032,Not Available,Not Available,Not Available,81.277,RY,
22.33828,20.439137,3.0929782,0.0277,Not Available,3.68,0.09887999,139.015,-16568750080,0.055,0.561,0.35562,0.62109,0.26492,5.8982625,0.411,0.258,Not Available,Not Available,0.030469999,Not Available,242658476032,16.646,Not Available,Not Available,24.339,NEE,
34.693333,8.957341,1.5974951,0.0629,Not Available,2.93,0.04538,73.408,11420749824,0.312,0.615,0.32987,0.69778997,0.071609996,2.483454,1.0,0.64,Not Available,Not Available,0.033069998,Not Available,209685970944,11.417,Not Available,Not Available,16.288,PFE,
17.999998,17.53721,9.641577,0.0146,Not Available,22.15,0.53475,195.336,6985500160,-0.042,1.095,0.19496,0.32529,0.1626,2.848108,1.395,0.768,Not Available,Not Available,0.09932,Not Available,220025356288,13.909,Not Available,Not Available,40.176,CAT,
41.808434,19.098928,1.9693552,0.0088,Not Available,5.15,0.0546,45.188,8273750016,0.037,1.398,0.14913,0.35358003,0.053049996,2.1981933,0.716,0.531,Not Available,Not Available,0.03622,Not Available,232850522112,13.901,Not Available,Not Available,55.409,DIS,
45.06973,30.36995,4.661421,0.0070999996,Not Available,16.81,0.099309996,31.362,4448374784,0.159,1.183,0.40392,0.68703,0.25792,11.508687,0.945,0.787,Not Available,Not Available,0.05667,Not Available,173085982720,26.048,Not Available,Not Available,109.546,SPGI,
20.573477,18.898676,7.0533304,0.033099998,Not Available,3.5,0.32369,137.489,5844499968,0.023,0.235,0.19677,0.42896998,0.11013,2.386013,0.774,0.555,Not Available,Not Available,0.08623,Not Available,171145052160,14.325,Not Available,Not Available,8.138,UL,
20.126139,16.886734,2.2736325,0.0279,Not Available,7.93,0.11079001,405.772,Not Available,0.165,1.336,0.33174,0.86546,0.19205,3.6606503,2.169,1.83,Not Available,Not Available,0.00935,Not Available,74754080768,Not Available,Not Available,Not Available,58.246,MS,
7.367213,32.330936,4.652655,0.0444,Not Available,1.39,0.12638,Not Available,Not Available,0.061,0.507,0.49157003,Not Available,0.40710998,2.8052266,Not Available,Not Available,Not Available,Not Available,0.00805,Not Available,437966995456,Not Available,Not Available,Not Available,9.659,HSBC,
18.08943,9.816638,1.5596523,0.0498,Not Available,2.24,0.08759,125.151,17564999680,-0.005,0.73,0.23618999,0.59907,0.07419,1.3079649,0.733,0.42,Not Available,Not Available,0.04033,Not Available,321273954304,7.511,Not Available,Not Available,14.266,T,
19.71656,20.786747,0.097891174,0.0113,Not Available,2.98,0.1153,Not Available,Not Available,0.63,0.833,0.32936,Not Available,0.25056,0.05711447,Not Available,Not Available,Not Available,Not Available,0.01712,Not Available,4618618142720,Not Available,Not Available,Not Available,632.437,HDB,
34.270893,19.50461,2.5900033,0.020399999,Not Available,6.11,0.073460005,69.597,8071000064,0.492,0.54,0.11991999,0.19305,0.05969,2.0025418,0.991,0.602,Not Available,Not Available,0.03165,Not Available,203524276224,16.19,Not Available,Not Available,45.915,RTX,
8.5289135,7.322091,1.1882259,0.0571,Not Available,8.13,0.14385,50.66,20368750592,-0.128,0.739,0.1159,0.33842,0.08297,0.675767,1.096,0.59,Not Available,Not Available,0.05313,Not Available,167361085440,4.434,Not Available,Not Available,50.891,TTE,
20.898878,19.18776,8.138975,0.0088,Not Available,9.69,0.4391,35.409,4395624960,0.055,1.551,0.28652,0.47408,0.27743,5.710104,2.86,1.947,Not Available,Not Available,0.15205,Not Available,148260831232,18.072,Not Available,Not Available,22.853,AMAT,
21.63269,19.355385,8.621408,0.0223,Not Available,12.11,0.43396,197.154,4174625024,0.025,1.056,0.39862,0.55319,0.27326,5.880354,0.773,0.56,Not Available,Not Available,0.089940004,Not Available,177479155712,14.753,Not Available,Not Available,27.325,UNP,
17.25623,14.043607,1.7966735,0.0202,Not Available,41.56,0.1017,609.793,Not Available,0.042,1.342,0.32743,0.83236,0.24648,3.7412796,1.602,1.458,Not Available,Not Available,0.00737,Not Available,-84978827264,Not Available,Not Available,Not Available,327.611,GS,
11.719676,9.947516,1.9436744,0.028199999,Not Available,4.38,0.16884,117.127,20999000064,0.065,1.004,0.18269,0.69728,0.11924,1.351897,0.719,0.605,Not Available,Not Available,0.05365,Not Available,261341364224,7.009,Not Available,Not Available,22.37,CMCSA,
35.19212,22.608383,10.170843,Not Available,Not Available,2.36,0.34326,80.343,3871000064,0.204,1.337,0.09483,0.32714,0.10492,3.5855541,1.415,1.223,Not Available,Not Available,0.04034,Not Available,155826274304,45.233,Not Available,Not Available,7.024,UBER,
18.727272,18.3371,5.553998,0.0015,Not Available,13.8,0.36411,25.375,14565612544,0.267,0.366,0.15293999,0.1521,0.112720005,2.0962737,0.309,0.227,Not Available,Not Available,0.06895,Not Available,159112757248,14.701,Not Available,Not Available,46.363,PGR,
22.306107,21.354492,Not Available,0.016900001,Not Available,12.63,Not Available,Not Available,6081750016,-0.055,1.098,0.14615,0.33209,0.08248,1.8253089,1.224,0.239,Not Available,Not Available,0.14649999,Not Available,190421549056,15.316,Not Available,Not Available,-24.231,LOW,
41.124466,28.385834,7.2515373,0.0082,Not Available,13.53,0.18868,79.443,2775124992,0.119,0.92,0.21587,0.63971,0.16337,6.649334,1.913,1.098,Not Available,Not Available,0.071100004,Not Available,159364333568,27.993,Not Available,Not Available,52.855,SYK,
19.52155,19.351152,17.66717,0.023699999,Not Available,28.11,0.81037,268.347,5304750080,0.013,0.481,0.12687,0.12222,0.09363,1.791984,1.303,1.096,Not Available,Not Available,0.09992,Not Available,148371685376,14.509,Not Available,Not Available,30.508,LMT,
29.0339,26.030046,17.38078,0.0124,Not Available,4.6,0.66199,162.567,3528750080,0.056,0.893,0.105579995,0.36571,0.08563,2.4314203,1.214,0.554,Not Available,Not Available,0.12818,Not Available,144020242432,20.213,Not Available,Not Available,6.899,TJX,
33.671883,23.7837,Not Available,0.0069999998,Not Available,209.85,Not Available,Not Available,7527875072,0.089,1.385,0.40893,0.84674,0.21846001,7.1370397,1.231,1.165,Not Available,Not Available,0.15423,Not Available,166012862464,23.112,Not Available,Not Available,-110.109,BKNG,
26.605536,20.867105,8.617379,0.0194,Not Available,11.01,0.31865,177.821,3810625024,0.056,1.025,0.2207,0.37598,0.15015,3.962813,1.442,0.972,Not Available,Not Available,0.07332,Not Available,173183156224,18.898,Not Available,Not Available,26.768,HON,
25.975687,21.481956,3.7621849,0.0198,Not Available,49.1,0.1505,32.503,5049500160,0.149,1.311,0.3985,0.49992,0.31372,8.011046,2.559,1.889,Not Available,Not Available,0.03597,Not Available,162026078208,21.114,Not Available,Not Available,278.317,BLK,
14.806839,11.435864,2.1565833,0.0159,Not Available,34.95,0.15504,61.87,-1112249984,0.054,0.853,0.043860003,0.27937,0.03688,0.54249316,1.495,1.34,Not Available,Not Available,0.05844,Not Available,84613767168,7.456,Not Available,Not Available,188.743,ELV,
19.340338,17.21687,2.876452,Not Available,Not Available,45.31,0.17166,9.221,2247637504,0.106,0.142,0.33426997,0.50754,0.33613998,6.209966,5.281,4.344,Not Available,Not Available,0.07414,Not Available,79444983808,17.278,Not Available,Not Available,272.04,REGN,
Not Available,25.64502,7.980081,Not Available,Not Available,18.77,-0.029849999,11.35,3063387392,0.116,0.394,0.40824002,0.53591,-0.045149997,11.72935,2.468,2.083,Not Available,Not Available,0.12051,Not Available,122626162688,27.578,Not Available,Not Available,60.646,VRTX,
72.38843,31.39854,6.232389,Not Available,Not Available,2.79,0.08916,53.722,1804875008,0.193,0.797,0.17059,0.68745005,0.112629995,8.113429,1.482,0.847,Not Available,Not Available,0.04903,Not Available,139835670528,34.417,Not Available,Not Available,14.054,BSX,
13.395017,13.485835,2.6054451,0.0279,Not Available,8.03,0.20376,36.695,7398750208,-0.079,1.22,0.24277,0.48896998,0.17472,2.2830572,1.299,1.078,Not Available,Not Available,0.1003,Not Available,140207030272,5.735,Not Available,Not Available,43.34,COP,
14.901234,11.4631405,0.006973372,0.0232,Not Available,1.03,0.06845,Not Available,Not Available,0.223,0.523,0.36932,Not Available,0.23954001,0.02552663,Not Available,Not Available,Not Available,Not Available,0.00349,Not Available,-45051077984256,Not Available,Not Available,Not Available,1730.87,MUFG,
38.53674,29.974503,7.480619,0.010199999,Not Available,12.05,0.20079,52.594,2547249920,0.079,1.01,0.19228001,0.37834,0.15314001,5.8121142,1.53,0.911,Not Available,Not Available,0.07403,Not Available,154218627072,28.297,Not Available,Not Available,48.373,ETN,
34.667675,41.315468,2.004892,0.032899998,Not Available,3.52,0.05662,57.079,5016193536,0.068,1.094,0.40980998,0.75426,0.37427,12.899122,0.623,0.417,Not Available,Not Available,0.021140002,Not Available,144753901568,25.222,Not Available,Not Available,57.235,PLD,
21.684814,23.367762,8.092386,0.019299999,Not Available,3.23,0.3798,86.962,6571749888,-0.104,1.035,0.104320005,0.44965,0.10599,2.2524529,2.356,1.417,Not Available,Not Available,0.106479995,Not Available,115731693568,16.072,Not Available,Not Available,9.352,NKE,
11.759426,12.176553,1.7586344,0.0128,Not Available,23.61,0.16125,31.706,13009625088,0.078,0.681,0.19610001,0.28444,0.18277,2.1145747,0.386,0.183,Not Available,Not Available,0.02915,Not Available,133924913152,11.786,Not Available,Not Available,163.155,CB,
31.32422,21.048294,3.8584418,0.0128,Not Available,3.8,0.12111,144.242,Not Available,0.052,0.952,0.38416,0.96776,0.27471,7.834789,0.481,0.481,Not Available,Not Available,0.0109399995,Not Available,148264992768,Not Available,Not Available,Not Available,20.783,SCHW,
28.956228,14.697312,2.300326,0.0318,Not Available,5.85,0.07948,57.859,4904750080,0.028,0.853,0.17511,0.65525,0.12055001,3.3859346,2.133,1.347,Not Available,Not Available,0.04415,Not Available,133055684608,14.763,Not Available,Not Available,37.386,MDT,
27.345678,23.613594,7.9459033,0.014400001,Not Available,9.43,0.32048,106.462,3657374976,0.059,0.937,0.20994,0.45241,0.16822,4.5430574,1.137,0.492,Not Available,Not Available,0.08321,Not Available,124035866624,17.118,Not Available,Not Available,27.876,MMC,
32.298393,27.77088,23.019283,0.02,Not Available,10.87,0.87263,176.65,2609362432,0.071,0.795,0.26488,0.48112,0.19715,6.3027487,1.014,0.256,Not Available,Not Available,0.06544,Not Available,127972794368,22.322,Not Available,Not Available,13.119,ADP,
52.427383,49.099873,23.67561,0.006,Not Available,9.53,0.46376,92.559,989520512,0.065,0.992,0.28242,0.49802,0.22139,12.21642,1.538,1.126,Not Available,Not Available,0.13215,Not Available,80477970432,38.398,Not Available,Not Available,18.601,RACE,
46.276978,39.432022,13.142751,Not Available,Not Available,9.73,0.33833998,0.755,2425385728,0.2,1.077,0.43362,0.6441,0.40293998,18.380219,4.468,3.516,Not Available,Not Available,0.15884,Not Available,117093056512,41.327,Not Available,Not Available,29.366,ANET,
54.17445,54.65501,24.801283,Not Available,Not Available,7.2,0.74517995,27.28,2498700032,0.121,1.118,0.119799994,0.74347997,0.3211,16.077799,0.892,0.771,Not Available,Not Available,0.032190003,Not Available,129839915008,118.64,Not Available,Not Available,15.902,PANW,
17.609375,15.066483,1.4152601,0.0156,Not Available,3.74,Not Available,87.69,Not Available,-0.034,1.025,0.27044,0.54918,0.10987,1.8762559,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,191373852672,10.393,Not Available,Not Available,39.816,BUD,
46.60062,24.75544,5.5464664,0.0046,Not Available,6.07,0.08284,83.045,Not Available,0.238,1.606,0.2619,0.48456,0.107530005,4.993455,0.851,0.792,Not Available,Not Available,0.01574,Not Available,185280823296,Not Available,Not Available,Not Available,27.138,KKR,
46.819714,28.428473,24.992943,0.0332,Not Available,6.79,0.17691,439.338,4893250048,Not Available,0.842,0.45165002,0.70855004,0.09942,8.149743,0.481,0.419,Not Available,Not Available,0.04454,Not Available,140378406912,20.152,Not Available,Not Available,7.793,AMT,
